post_title,post_date,product_name,sale_price,regular_price,source_url,scraped_at,approx_regular_price
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,1940849 BIOSTEEL HYDRATION MIX PACK 30 X 7G (,$7.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,1800076 ORGANIKA ENHANCED COLLAGEN 2KG (,$20.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,B IO BRUSH HEADS PACK OF 7 (,$12.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,B IO TOOTHBRUSHES 2 HANDLES (,$40.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,1708072 LYSOL DISINFECTING WIPES 5 X 110 WIPES (,$5.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,937319 LYSOL TOILET BOWL CLEANER 4 x 946 ML (,$3.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,4254845 FINISH QUANTUM PLUS DISHWASHER DETERGENT 96 TABS (,$5.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,2964545 JET DRY QUANTUM ULTRA RINSE AGENT 1.12L (,$4.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,366500 SOFTSOAP HANDSOAP WITH ALOE 2 X 2.36L (,$4.50,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,1785880 DIAPER GENIE REFILLS PACK OF 4 (,$6.50,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,1796164 SIGNATURE HOUSE STONEWARE BOWLS PACK OF 6 (,$5.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,4584347 CUSINART DIGITAL AIR FRYER OVEN (,$40.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
