post_title,post_date,product_name,sale_price,regular_price,instant_savings,approx_regular_price,source_url,scraped_at
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,Costco West Fan Blog,$19.99,,,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1727590 CASCADE PLATINUM PLUS DISHWASHER DETERGENT 81 TABS ($6.00 INSTANT SAVINGS EXPIRES ON 2025-11-09) $23.99,$6.00,,6.00,12.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1774182 DOWNY 2IN1 FBRC SFTNR SEASIDE SPA 910G ($4.00 INSTANT SAVINGS EXPIRES ON 2025-11-09) $14.99,$4.00,,4.00,8.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1539240 STIVECTIN INSENSITIVE EYE PLUS 30 ML + 7 ML ($20.00 INSTANT SAVINGS EXPIRES ON 2024-11-23) $44.99,$20.00,,20.00,40.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1770258 STRIVECTIN SD ADVANCED MOISTURIZING PLUS 2 X 47ML ($30.00 INSTANT SAVINGS EXPIRES ON 2025-11-23) $69.99,$30.00,,30.00,60.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1595852 EDGE RAZOR PACK OF 21 ($7.00 INSTANT SAVINGS EXPIRES ON 2025-11-23) $22.99,$7.00,,7.00,14.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,2334145 RICOLA ORIGINAL HERB 2 X 105 LOZENGES ($5.50 INSTANT SAVINGS EXPIRES ON 2025-11-09) $21.49,$5.50,,5.50,11.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1891700 DELONGHI NESPRESSO VERTUO ESPRESSO MAKER ($40.00 INSTANT SAVINGS EXPIRES ON 2025-11-23) $159.99,$40.00,,40.00,80.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1992291 NINJA CIRSPI PORTABLE COOKING SYSTEM ($40.00 INSTANT SAVINGS EXPIRES ON 2025-11-23) $159.99,$40.00,,40.00,80.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,9501001 HOVERAIR X1 PROMAX 8K FLYING ACTION CAM DRONE BUNDLE $999.99,$999.99,,,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,8778402 SOUNDCORE CS 30Q HEADPHONES BEIGE ($20.00 INSTANT SAVINGS EXPIRES ON 2025-11-09) $79.99,$20.00,,20.00,40.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1799999 ION RETRO GLOW BLUETOOTH CASSETTE BOOMBOX $129.99,$129.99,,,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1917021 LEGO ADVENT CALENDAR ASSORTMENT $44.99,$44.99,,,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,2666971 LEGO FRIENDS ASSORTMENT $89.99,$89.99,,,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1827555 POLAROID GO GEN 2 CAMERA BUNDLE $139.99,$139.99,,,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,2424169 NINTENDO SWITCH 2 POKEMON LEGENDS Z-A SD 10/16/25 $99.00,$99.00,,,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1784945 DISNEY ANIMATED PIRATE SHIP WITH LIGHTS AND MUSIC $49.97,$49.97,,,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1739875 DISNEY HALLOWEEN TREAT BOWL INDOOR USE ONLY $29.97,$29.97,,,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,2714662 LASKO ELITE COLLECTION TOWER HEATER ($15.00 INSTANT SAVINGS EXPIRES ON 2025-11-02) $48.99,$15.00,,15.00,30.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1841551 HAMILTON BEACH WINE CELLAR 14.2 CUFT $399.97,$399.97,,,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,5606075 SAMSUNG 75Q6F 75,$100.00,,100.00,200.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,5658455 SAMSUNG 55S84F 55,$400.00,,400.00,800.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1785781 BOSE QUIET COMFORT HEADPHONES WHITE $429.99,$429.99,,,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1345165 SAMSUNG ODYSSEY G5 34,$50.00,,50.00,100.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,3344400 MOTOROLA G STYLUS 5G (2024) 256GB CREAM ($50.00 INSTANT SAVINGS EXPIRES ON 2025-11-19) $349.99,$50.00,,50.00,100.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1855115 ACER NITRO V 15.6,$300.00,,300.00,600.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,2143004 HP 17.3,$799.97,,,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,2140074 HP 15.6,$699.97,,,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
